discipline_name,tournament_type,hour,day_of_week,month,prize_pool,registered_count,actual_attendance
League of Legends,online,19,1,2,517000,6746,56
League of Legends,online,21,3,1,49700,138,5
Overwatch 2,offline,19,1,11,40900,351,293
Apex Legends,online,22,1,3,57000,264,3
Rocket League,online,15,0,3,23100,192,11
Rocket League,offline,21,5,10,14400,135,95
Apex Legends,offline,19,0,2,19400,60,60
League of Legends,offline,17,0,5,35200,495,360
Apex Legends,online,12,4,3,13500,137,9
League of Legends,offline,9,0,5,26100,403,294
Dota 2,online,9,6,4,49200,451,13
Overwatch 2,offline,20,5,4,24200,371,330
CS2,offline,22,3,6,132000,883,703
Fortnite,online,18,0,7,1500,33,3
Rocket League,offline,13,6,7,33500,259,210
Rainbow Six Siege,offline,16,0,1,21200,322,290
Fortnite,offline,23,6,11,147000,1283,959
Valorant,offline,8,3,3,26500,282,259
Apex Legends,online,22,3,7,197000,392,9
Dota 2,offline,22,3,2,110000,769,598
CS2,online,19,0,10,79000,945,9
Apex Legends,offline,21,4,4,197000,1307,958
Rainbow Six Siege,offline,21,3,6,61000,628,588
League of Legends,offline,9,4,8,38900,937,709
Fortnite,offline,8,4,10,102000,1134,923
Rocket League,online,22,2,2,876000,3230,81
StarCraft II,offline,14,2,1,17600,108,74
Apex Legends,online,12,5,10,171000,400,5
League of Legends,online,17,3,4,14500,70,11
Dota 2,offline,17,3,9,52000,493,402
Valorant,offline,22,0,6,1570000,12000,9864
CS2,online,14,0,10,17700,133,7
CS2,offline,20,1,4,529000,3900,2687
CS2,online,19,4,9,334000,1086,50
Overwatch 2,offline,23,6,7,8300,66,33
Dota 2,offline,22,4,10,243000,3058,2587
Rocket League,online,8,3,8,1500,17,2
Rainbow Six Siege,offline,22,1,5,495000,2526,2259
StarCraft II,offline,9,6,5,21600,125,102
Fortnite,offline,22,3,3,73000,673,611
Overwatch 2,online,15,1,10,21200,79,2
StarCraft II,online,11,4,3,2400,15,2
Rocket League,offline,10,5,11,20200,103,89
Dota 2,online,22,3,10,75000,582,10
Overwatch 2,offline,19,1,6,27900,519,413
Rocket League,offline,8,2,8,12000,79,49
League of Legends,offline,14,1,6,39700,401,359
Fortnite,offline,15,2,11,46700,428,329
CS2,offline,21,6,4,12900,250,221
Apex Legends,offline,9,1,7,21100,139,124
Overwatch 2,online,23,6,8,18300,180,5
Valorant,online,14,0,1,32900,355,14
Fortnite,online,19,5,5,62000,680,19
Apex Legends,offline,9,0,2,22900,423,392
Rainbow Six Siege,online,15,3,11,8200,45,2
Rocket League,online,11,5,3,32900,249,7
Valorant,offline,12,1,7,69000,457,371
League of Legends,offline,12,6,11,61000,1059,988
CS2,offline,13,2,2,108000,1432,1314
Apex Legends,offline,17,1,7,1460000,5606,5107
Dota 2,online,18,5,1,172000,743,26
Rocket League,online,9,4,9,1400000,2945,53
CS2,offline,15,5,2,67000,646,451
Valorant,offline,21,1,3,177000,2178,1518
Rocket League,online,22,1,8,41600,183,4
CS2,offline,23,3,1,192000,954,872
Valorant,offline,13,2,10,56000,741,683
League of Legends,offline,8,0,6,106000,1205,1114
Valorant,offline,14,1,6,431000,4028,3632
Overwatch 2,online,22,4,5,8100,99,4
League of Legends,offline,17,5,6,4400,106,94
Rainbow Six Siege,offline,10,6,7,3900,59,50
Valorant,online,21,4,3,1700,19,2
Rainbow Six Siege,offline,11,3,7,239000,922,758
League of Legends,offline,9,1,4,322000,2082,1770
League of Legends,offline,15,4,2,38900,414,347
Rainbow Six Siege,offline,22,4,8,64000,844,750
Rocket League,offline,14,6,9,18700,175,121
League of Legends,online,11,0,5,67000,346,12
Dota 2,offline,23,2,8,1500,21,20
League of Legends,offline,23,6,2,120000,3998,3018
Rocket League,offline,9,1,6,68000,365,293
League of Legends,offline,21,6,2,21800,1283,880
Fortnite,online,19,4,7,8700,60,2
StarCraft II,online,21,0,8,73000,242,4
Fortnite,online,19,5,4,327000,836,21
CS2,offline,21,6,2,103000,4044,3170
Dota 2,online,13,3,6,26400,202,24
Dota 2,offline,10,3,1,92000,1017,884
Dota 2,offline,9,4,1,101000,758,699
StarCraft II,online,11,4,2,11200,46,2
Apex Legends,offline,22,4,2,67000,691,515
Apex Legends,online,20,5,2,26600,308,3
Fortnite,offline,11,5,9,59000,396,279
Rocket League,online,12,1,7,379000,1039,28
CS2,online,8,2,4,18800,125,3
StarCraft II,offline,10,2,11,23400,126,107
Overwatch 2,offline,23,5,9,38800,321,290
League of Legends,offline,14,1,4,154000,1427,1295
Apex Legends,offline,21,3,9,32400,143,115
Valorant,offline,18,6,4,38600,835,597
StarCraft II,offline,11,1,10,3100,26,25
Rocket League,online,8,5,9,5400,47,1
Valorant,online,21,1,8,75000,191,7
Dota 2,offline,20,6,6,25000,407,286
Dota 2,offline,18,6,8,13200,295,250
Valorant,online,17,2,8,371000,1010,24
CS2,online,11,6,7,29300,231,6
League of Legends,online,15,1,6,109000,317,5
Apex Legends,online,14,5,6,144000,637,11
Valorant,offline,9,0,6,32700,323,235
StarCraft II,online,12,3,6,17700,43,1
StarCraft II,offline,8,2,7,108000,482,356
Rainbow Six Siege,offline,21,5,4,131000,1812,1357
Overwatch 2,offline,10,6,4,32700,329,230
League of Legends,offline,18,6,8,131000,1608,1294
Rainbow Six Siege,offline,19,1,4,6900,324,257
Valorant,offline,12,5,3,36700,221,180
League of Legends,offline,8,2,6,77000,758,544
CS2,offline,13,1,5,60000,864,687
Fortnite,offline,8,3,1,88000,837,778
CS2,offline,22,4,11,32200,657,474
CS2,offline,22,3,6,133000,1522,1071
League of Legends,offline,18,1,7,82000,784,535
League of Legends,offline,16,1,6,32000,923,767
Valorant,offline,23,6,9,776000,5251,4393
Apex Legends,offline,19,5,5,44900,401,366
Valorant,online,17,2,4,108000,1052,13
CS2,online,9,3,5,124000,323,8
Dota 2,offline,17,3,3,68000,1138,921
CS2,offline,14,2,7,43500,364,340
Overwatch 2,offline,21,2,1,11100,255,199
Rocket League,offline,17,3,7,20300,233,162
Valorant,offline,8,1,4,52000,425,319
Valorant,offline,23,1,7,310000,1445,1267
Rocket League,online,13,4,3,6300,46,4
StarCraft II,offline,19,5,8,4500,56,41
Rocket League,online,18,2,2,42300,126,3
StarCraft II,online,19,4,4,30100,218,10
Valorant,online,8,1,7,205000,507,25
Dota 2,offline,11,5,1,136000,2002,1367
Dota 2,online,13,1,9,19700,77,4
CS2,offline,12,6,4,408000,3276,2709
Dota 2,offline,14,2,9,12600,131,112
Rainbow Six Siege,offline,12,5,6,1500,37,32
Apex Legends,offline,19,4,7,10200,315,262
League of Legends,offline,19,5,3,110000,2414,1776
Fortnite,online,21,0,3,4400,36,1
Apex Legends,online,21,0,8,4500,32,3
League of Legends,online,8,3,6,102000,880,18
StarCraft II,online,19,1,6,2900,25,3
Apex Legends,online,8,1,3,5400,30,1
Valorant,offline,13,6,9,107000,642,598
League of Legends,online,8,5,8,592000,1485,43
Apex Legends,online,20,1,9,108000,262,10
League of Legends,offline,15,1,6,279000,1945,1799
Valorant,offline,22,3,3,75000,674,490
Rainbow Six Siege,online,17,5,4,8200,45,11
Rocket League,online,12,2,1,20700,87,7
Apex Legends,offline,13,5,1,15500,283,263
Apex Legends,offline,21,0,10,66000,666,600
Valorant,online,18,2,4,16600,244,6
Dota 2,online,23,4,8,29900,209,7
Overwatch 2,offline,23,4,10,39600,795,717
Overwatch 2,online,12,2,8,1500,15,1
Fortnite,offline,13,3,2,234000,1476,1140
Dota 2,online,12,4,1,212000,2258,58
Rainbow Six Siege,online,22,0,8,21000,44,6
Valorant,online,19,4,3,32700,392,15
Valorant,offline,13,3,8,15900,194,178
Overwatch 2,offline,16,6,2,48900,421,335
Valorant,online,18,2,4,130000,336,14
Dota 2,offline,15,5,2,56000,1620,1132
CS2,offline,21,6,11,49700,1382,1147
CS2,offline,17,6,7,21200,334,230
Fortnite,offline,15,0,1,202000,2097,1583
Overwatch 2,online,13,0,4,152000,662,25
Valorant,online,17,3,3,41200,327,14
Dota 2,online,20,4,6,82000,457,6
CS2,online,21,5,9,158000,637,7
Rocket League,online,8,2,1,6300,34,1
Dota 2,offline,17,2,8,39400,900,631
Rainbow Six Siege,offline,14,3,1,31900,147,109
Apex Legends,offline,14,6,7,12200,146,103
Overwatch 2,online,9,6,7,15500,68,5
CS2,online,14,3,10,22500,102,4
Rainbow Six Siege,offline,23,1,5,366000,2707,2504
League of Legends,online,16,1,10,107000,578,13
Dota 2,online,19,5,10,207000,2886,37
CS2,offline,12,1,8,125000,893,715
Rainbow Six Siege,online,21,5,5,29500,229,9
Valorant,offline,17,6,8,1500,32,27
Apex Legends,offline,16,1,5,7300,169,129
Rainbow Six Siege,online,9,6,10,64000,283,27
Valorant,online,11,5,5,26800,242,3
Apex Legends,offline,18,1,11,1210000,3154,2187
Apex Legends,online,12,0,11,68000,376,21
CS2,offline,16,6,9,10100,445,372
Valorant,offline,17,1,6,336000,3287,2500
Rainbow Six Siege,offline,18,3,10,3100,37,23
Fortnite,offline,23,3,2,8200,90,51
CS2,offline,18,6,10,8100,246,214
Valorant,offline,18,3,1,8200,180,152
Dota 2,offline,12,2,10,95000,502,406
Valorant,offline,16,5,11,160000,1385,1016
Apex Legends,online,9,2,11,43800,157,5
StarCraft II,offline,9,3,2,1500,20,15
Rocket League,offline,22,1,4,27700,373,296
Rocket League,offline,10,1,9,7200,68,67
Valorant,offline,22,6,2,44400,1360,973
Rainbow Six Siege,offline,8,5,1,60000,1202,1049
Overwatch 2,online,16,1,8,40200,122,17
Rainbow Six Siege,offline,23,0,5,58000,749,652
Apex Legends,offline,19,1,9,43800,295,216
Dota 2,online,8,0,4,95000,422,14
League of Legends,online,19,3,7,130000,660,11
Valorant,online,21,2,1,53000,424,12
Overwatch 2,online,15,3,4,22600,63,3
Dota 2,online,13,5,5,21600,122,3
Fortnite,online,8,3,10,7800,85,9
Rainbow Six Siege,offline,16,3,1,141000,1396,1103
CS2,online,21,6,4,126000,1015,11
Dota 2,online,10,2,9,65000,286,13
League of Legends,online,12,3,4,103000,994,5
Valorant,online,8,4,10,170000,393,5
Dota 2,offline,20,0,7,6100,133,91
Overwatch 2,online,22,4,6,254000,970,34
Overwatch 2,offline,17,5,6,6200,92,92
Rainbow Six Siege,offline,18,2,4,49900,323,292
Apex Legends,offline,19,0,2,31000,164,120
Dota 2,offline,14,0,8,96000,1655,1473
League of Legends,offline,17,1,5,5100,72,69
Valorant,online,8,0,6,37500,190,9
Rainbow Six Siege,offline,17,5,1,22400,328,298
Valorant,online,13,1,11,21000,164,15
Fortnite,online,10,2,6,1060000,1474,43
Overwatch 2,offline,19,5,7,12300,167,132
Fortnite,online,12,0,8,49100,244,8
Rainbow Six Siege,online,12,4,2,5300,52,4
Fortnite,online,10,0,6,17700,110,6
Rainbow Six Siege,offline,14,4,10,9300,89,89
Fortnite,online,23,2,2,78000,450,18
Apex Legends,offline,13,4,3,9800,173,148
StarCraft II,offline,9,2,2,71000,144,133
Fortnite,online,21,3,5,161000,615,7
League of Legends,offline,16,5,4,4500,120,90
CS2,offline,13,5,7,53000,509,378
Apex Legends,offline,10,0,2,2600,58,43
CS2,offline,19,5,4,103000,4280,3332
Dota 2,offline,20,6,1,33800,892,631
Dota 2,offline,14,3,2,6800,231,165
Rocket League,online,9,3,8,8700,38,1
Apex Legends,offline,8,4,5,6800,67,61
Apex Legends,online,8,4,6,46600,251,7
League of Legends,offline,23,4,11,3300,51,31
StarCraft II,offline,16,6,2,2200,26,17
